[2026-08-04 10:47:38] === starting DEFORM training: DLO_type=d003_v054 train_time_horizon=20 eval_time_horizon=100 max_update_steps=200 ===
[2026-08-04 10:47:38] GPU: NVIDIA GeForce RTX 2060 (cuda:0)
[2026-08-04 10:47:38] logging to logs/train_d003_v054.log
[2026-08-04 10:47:39] [data] precomputing mu_0 (bishop frames) for 56 train episodes, 8069056 frames total, on CPU
[2026-08-04 10:50:01] [data] [░░░░░░░░░░░░░░░░░░░░]   3.1% frames 252000/8069056 ep 12/56  1770 frames/s  ETA 4417s
[2026-08-04 10:50:02] [data] [░░░░░░░░░░░░░░░░░░░░]   3.1% frames 254000/8069056 ep 12/56  1771 frames/s  ETA 4413s
[2026-08-04 10:50:03] [data] [░░░░░░░░░░░░░░░░░░░░]   3.2% frames 256000/8069056 ep 12/56  1772 frames/s  ETA 4409s
[2026-08-04 10:50:04] [data] [░░░░░░░░░░░░░░░░░░░░]   3.2% frames 258000/8069056 ep 12/56  1773 frames/s  ETA 4405s
[2026-08-04 10:50:05] [data] [░░░░░░░░░░░░░░░░░░░░]   3.2% frames 260000/8069056 ep 12/56  1774 frames/s  ETA 4403s
[2026-08-04 10:50:06] [data] [░░░░░░░░░░░░░░░░░░░░]   3.2% frames 262000/8069056 ep 12/56  1774 frames/s  ETA 4400s
[2026-08-04 10:50:07] [data] [░░░░░░░░░░░░░░░░░░░░]   3.3% frames 264000/8069056 ep 12/56  1775 frames/s  ETA 4397s
[2026-08-04 10:50:09] [data] [░░░░░░░░░░░░░░░░░░░░]   3.3% frames 266000/8069056 ep 12/56  1776 frames/s  ETA 4394s
[2026-08-04 10:50:10] [data] [░░░░░░░░░░░░░░░░░░░░]   3.3% frames 268000/8069056 ep 12/56  1776 frames/s  ETA 4392s
[2026-08-04 10:50:11] [data] [░░░░░░░░░░░░░░░░░░░░]   3.3% frames 270000/8069056 ep 12/56  1777 frames/s  ETA 4388s
[2026-08-04 10:50:12] [data] [░░░░░░░░░░░░░░░░░░░░]   3.4% frames 272000/8069056 ep 12/56  1778 frames/s  ETA 4385s
[2026-08-04 10:50:13] [data] [░░░░░░░░░░░░░░░░░░░░]   3.4% frames 274000/8069056 ep 12/56  1778 frames/s  ETA 4383s
[2026-08-04 10:50:14] [data] [░░░░░░░░░░░░░░░░░░░░]   3.4% frames 276000/8069056 ep 12/56  1779 frames/s  ETA 4381s
[2026-08-04 10:50:15] [data] [░░░░░░░░░░░░░░░░░░░░]   3.4% frames 278000/8069056 ep 12/56  1780 frames/s  ETA 4377s
[2026-08-04 10:50:16] [data] [░░░░░░░░░░░░░░░░░░░░]   3.5% frames 280000/8069056 ep 12/56  1780 frames/s  ETA 4375s
[2026-08-04 10:50:17] [data] [░░░░░░░░░░░░░░░░░░░░]   3.5% frames 282000/8069056 ep 12/56  1781 frames/s  ETA 4372s
[2026-08-04 10:50:18] [data] [░░░░░░░░░░░░░░░░░░░░]   3.5% frames 284000/8069056 ep 13/56  1780 frames/s  ETA 4373s
[2026-08-04 10:50:19] [data] [░░░░░░░░░░░░░░░░░░░░]   3.5% frames 286000/8069056 ep 13/56  1781 frames/s  ETA 4371s
[2026-08-04 10:50:20] [data] [░░░░░░░░░░░░░░░░░░░░]   3.6% frames 288000/8069056 ep 14/56  1781 frames/s  ETA 4369s
[2026-08-04 10:50:22] [data] [░░░░░░░░░░░░░░░░░░░░]   3.6% frames 290000/8069056 ep 14/56  1781 frames/s  ETA 4367s
[2026-08-04 10:50:23] [data] [░░░░░░░░░░░░░░░░░░░░]   3.6% frames 292000/8069056 ep 14/56  1782 frames/s  ETA 4365s
[2026-08-04 10:50:24] [data] [░░░░░░░░░░░░░░░░░░░░]   3.6% frames 294000/8069056 ep 14/56  1782 frames/s  ETA 4363s
[2026-08-04 10:50:25] [data] [░░░░░░░░░░░░░░░░░░░░]   3.7% frames 296000/8069056 ep 14/56  1783 frames/s  ETA 4359s
[2026-08-04 10:50:26] [data] [░░░░░░░░░░░░░░░░░░░░]   3.7% frames 298000/8069056 ep 14/56  1784 frames/s  ETA 4356s
[2026-08-04 10:50:27] [data] [░░░░░░░░░░░░░░░░░░░░]   3.7% frames 300000/8069056 ep 14/56  1784 frames/s  ETA 4354s
[2026-08-04 10:50:28] [data] [░░░░░░░░░░░░░░░░░░░░]   3.7% frames 302000/8069056 ep 14/56  1785 frames/s  ETA 4351s
[2026-08-04 10:50:29] [data] [░░░░░░░░░░░░░░░░░░░░]   3.8% frames 304000/8069056 ep 14/56  1786 frames/s  ETA 4349s
[2026-08-04 10:50:30] [data] [░░░░░░░░░░░░░░░░░░░░]   3.8% frames 306000/8069056 ep 14/56  1786 frames/s  ETA 4347s
[2026-08-04 10:50:31] [data] [░░░░░░░░░░░░░░░░░░░░]   3.8% frames 308000/8069056 ep 14/56  1787 frames/s  ETA 4343s
[2026-08-04 10:50:32] [data] [░░░░░░░░░░░░░░░░░░░░]   3.8% frames 310000/8069056 ep 14/56  1789 frames/s  ETA 4338s
[2026-08-04 10:50:33] [data] [░░░░░░░░░░░░░░░░░░░░]   3.9% frames 312000/8069056 ep 14/56  1790 frames/s  ETA 4333s
[2026-08-04 10:50:34] [data] [░░░░░░░░░░░░░░░░░░░░]   3.9% frames 314000/8069056 ep 14/56  1792 frames/s  ETA 4329s
[2026-08-04 10:50:35] [data] [░░░░░░░░░░░░░░░░░░░░]   3.9% frames 316000/8069056 ep 14/56  1793 frames/s  ETA 4324s
[2026-08-04 10:50:36] [data] [░░░░░░░░░░░░░░░░░░░░]   3.9% frames 318000/8069056 ep 14/56  1794 frames/s  ETA 4320s
[2026-08-04 10:50:37] [data] [░░░░░░░░░░░░░░░░░░░░]   4.0% frames 320000/8069056 ep 15/56  1793 frames/s  ETA 4321s
[2026-08-04 10:50:38] [data] [░░░░░░░░░░░░░░░░░░░░]   4.0% frames 322000/8069056 ep 15/56  1795 frames/s  ETA 4316s
[2026-08-04 10:50:39] [data] [░░░░░░░░░░░░░░░░░░░░]   4.0% frames 324000/8069056 ep 15/56  1796 frames/s  ETA 4312s
[2026-08-04 10:50:40] [data] [░░░░░░░░░░░░░░░░░░░░]   4.0% frames 326000/8069056 ep 15/56  1797 frames/s  ETA 4308s
[2026-08-04 10:50:41] [data] [░░░░░░░░░░░░░░░░░░░░]   4.1% frames 328000/8069056 ep 15/56  1798 frames/s  ETA 4305s
[2026-08-04 10:50:42] [data] [░░░░░░░░░░░░░░░░░░░░]   4.1% frames 330000/8069056 ep 15/56  1799 frames/s  ETA 4303s
[2026-08-04 10:50:43] [data] [░░░░░░░░░░░░░░░░░░░░]   4.1% frames 332000/8069056 ep 15/56  1800 frames/s  ETA 4298s
[2026-08-04 10:50:44] [data] [░░░░░░░░░░░░░░░░░░░░]   4.1% frames 334000/8069056 ep 15/56  1801 frames/s  ETA 4296s
[2026-08-04 10:50:45] [data] [░░░░░░░░░░░░░░░░░░░░]   4.2% frames 336000/8069056 ep 15/56  1802 frames/s  ETA 4292s
[2026-08-04 10:50:46] [data] [░░░░░░░░░░░░░░░░░░░░]   4.2% frames 338000/8069056 ep 15/56  1803 frames/s  ETA 4289s
[2026-08-04 10:50:47] [data] [░░░░░░░░░░░░░░░░░░░░]   4.2% frames 340000/8069056 ep 15/56  1803 frames/s  ETA 4286s
